model	compare	trainAUC	trainCI1	trainCI2	train_threshold	train_sensitivity	train_specificity	train_accuracy	testAUC	testCI1	testCI2	test_threshold	test_sensitivity	test_specificity	test_accuracy
Lasso	Bacteria_vs_Cancer	0.922126436781609	0.884418934481701	0.959833939081518	0.42777461553025	0.793103448275862	0.9	0.844311377245509	0.801470588235294	0.698735350766779	0.90420582570381	0.646424469265823	0.888888888888889	0.617647058823529	0.757142857142857
RF	Fungi_vs_Cancer	0.89059934318555	0.835287222739324	0.945911463631777	0.628388650793651	0.793103448275862	0.875	0.825174825174825	0.829710144927536	0.72251020687257	0.936910082982502	0.6473	0.777777777777778	0.869565217391304	0.813559322033898
0.1*Lasso+0.9*RF	Fungi_vs_Cancer	0.947044334975369	0.913246451160891	0.980842218789848	0.606335582901802	0.839080459770115	0.910714285714286	0.867132867132867	0.852657004830918	0.751954513728286	0.95335949593355	0.628536779943124	0.75	0.91304347826087	0.813559322033898
0.2*Lasso+0.8*RF	Fungi_vs_Cancer	0.982348111658456	0.967258454364079	0.997437768952834	0.605930035234281	0.885057471264368	0.964285714285714	0.916083916083916	0.867149758454106	0.771560876075105	0.962738640833107	0.528781174975472	0.888888888888889	0.782608695652174	0.847457627118644
0.3*Lasso+0.7*RF	Fungi_vs_Cancer	0.995689655172414	0.989685518145454	1	0.550290307686062	0.988505747126437	0.964285714285714	0.979020979020979	0.871980676328502	0.780087162252407	0.963874190404598	0.486636002750544	0.944444444444444	0.695652173913043	0.847457627118644
0.4*Lasso+0.6*RF	Fungi_vs_Cancer	0.999589490968801	0.998607072793647	1	0.598509565232378	0.988505747126437	1	0.993006993006993	0.865942028985507	0.772085270397863	0.959798787573152	0.419725252344641	0.944444444444444	0.695652173913043	0.847457627118644
0.5*Lasso+0.5*RF	Fungi_vs_Cancer	1	1	1	0.51454698743151	1	1	1	0.867149758454106	0.773863896255268	0.960435620652944	0.357512854536963	0.944444444444444	0.695652173913043	0.847457627118644
0.6*Lasso+0.4*RF	Fungi_vs_Cancer	1	1	1	0.488206664860492	1	1	1	0.865942028985507	0.772329191917475	0.959554866053539	0.311647479932245	0.916666666666667	0.695652173913043	0.830508474576271
0.7*Lasso+0.3*RF	Fungi_vs_Cancer	1	1	1	0.479002259797558	1	1	1	0.858695652173913	0.763768700106007	0.953622604241819	0.268480889506786	0.888888888888889	0.695652173913043	0.813559322033898
0.8*Lasso+0.2*RF	Fungi_vs_Cancer	1	1	1	0.469797854734624	1	1	1	0.856280193236715	0.761758167042386	0.950802219431044	0.152082250721028	0.972222222222222	0.565217391304348	0.813559322033898
0.9*Lasso+0.1*RF	Fungi_vs_Cancer	1	1	1	0.46059344967169	1	1	1	0.86231884057971	0.769080184057339	0.955557497102081	0.0833633740098975	1	0.565217391304348	0.830508474576271
Lasso	Fungi_vs_Cancer	1	1	1	0.451389044608756	1	1	1	0.830917874396135	0.7210318557681	0.94080389302417	0.732112499751212	0.694444444444444	0.826086956521739	0.745762711864407
RF	TB_vs_Cancer	0.932165065008479	0.89421131744974	0.970118812567218	0.609284476911977	0.827586206896552	0.901639344262295	0.858108108108108	0.89	0.813026904614655	0.966973095385345	0.735608730158731	0.666666666666667	1	0.80327868852459
0.1*Lasso+0.9*RF	TB_vs_Cancer	0.947051064631619	0.915258733509292	0.978843395753946	0.657404124147966	0.793103448275862	0.967213114754098	0.864864864864865	0.897777777777778	0.824076785093956	0.9714787704616	0.727597174015329	0.666666666666667	0.96	0.786885245901639
0.2*Lasso+0.8*RF	TB_vs_Cancer	0.955153570755606	0.927183002756836	0.983124138754376	0.595862733472514	0.850574712643678	0.918032786885246	0.878378378378378	0.896666666666667	0.821035597311582	0.972297736021752	0.48790593326444	0.916666666666667	0.72	0.836065573770492
0.3*Lasso+0.7*RF	TB_vs_Cancer	0.960806482004899	0.935421383438988	0.986191580570811	0.552465324967599	0.896551724137931	0.918032786885246	0.905405405405405	0.908888888888889	0.83848352025135	0.979294257526427	0.519516953972604	0.916666666666667	0.76	0.852459016393443
0.4*Lasso+0.6*RF	TB_vs_Cancer	0.964575089504428	0.940992179598271	0.988157999410586	0.571990762775203	0.896551724137931	0.918032786885246	0.905405405405405	0.911111111111111	0.840411654441808	0.981810567780414	0.537574890886491	0.916666666666667	0.8	0.868852459016393
0.5*Lasso+0.5*RF	TB_vs_Cancer	0.966647823629169	0.944009454444034	0.989286192814304	0.605401189623896	0.885057471264368	0.950819672131147	0.912162162162162	0.912222222222222	0.841140880143642	0.983303564300803	0.502588556993448	0.944444444444444	0.76	0.868852459016393
