Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
20211022MCX010	0.0500065138338943	0	0.00476203275883892	0	0	0.232633474176518	0.00941438829912438	0	0.00111648958721282	0	0.00735068303374324	0.0156902637723307	0.0029444309991656	0.465355262682013	0.0172492894013327	0.0912149220777472	0.0110809698912976	0	0.0742002265658351	0	0.00844996649462735	0.00853108642631839	0.015	0.237736243702846	1.01958126464113
20210430MCX011	0.0527368177553293	0	0.00267907915811358	0	0	0.172098697069271	0.0536288048681655	0	0	0	0.013972000121581	0	0	0.0976055043039071	0.171844386884189	0.00585742512608155	0	0	0.0320623397891888	0	0.142050158379556	0.255464786544617	0.003	0.344687092411939	0.960782817120766
20210414MCX013	0.0327774728154621	0	0	0.00686108340367555	0	0.131840972285516	0	0	0	0	0.0370023983402647	0	0.00560370878037125	0.681755705523338	0.0122951446079508	0.0167585584553997	0.00401716818229137	0	0.0399342381833221	0	0	0.0311535494224081	0.016	0.230476494887937	1.07992238376501
20210526MCX015	0.0254404999985946	0	0	0	0.014556152382547	0.108686144543415	0	0.00550822343947279	0.00627537331964811	0	0.0610428402996113	0	0	0.617333174073398	0.00517550186118748	0.0620449004153137	0.00219417457348399	0	0.0593937224842805	0	0	0.0323492926090475	0.023	0.21213603120449	1.07435495468517
20210813MCX009	0.0298974307680548	0.0717497970865797	0	0.0368603686684399	0	0.338019857538226	0.0442230071758815	0	0.0101372567251915	0	0.0362977760052598	0	0.00725757428821878	0.107421827037079	0	0	0	0.0162983328792204	0.0397815236801134	0	0.014309111677586	0.247746136470149	0.005	0.311575545064951	0.966877918803797
20211112MCX010	0.00564255564811989	0	0.0104801048192171	0	0	0.150011437245273	0	0	0.011688784896357	0	0.0629179680246229	0	0	0.606443099495369	0.0472492405949277	0	0.0112750288692749	0	0	0.0159746185155293	0.0114496285938046	0.0668675332975046	0.047	0.164543116058966	1.10053875397179
20211124MCX019	0.0624132787203162	0	0.00906294017197665	0	0	0.153196758730666	0	0.00463624249343919	0	0	0	0	0	0.253083012499782	0.012653971677652	0.0508216315427749	0	0.012757060313318	0.0156547087594781	0	0.0456735940951176	0.380046800995479	0.00800000000000001	0.300809352954869	1.01318495870772
20211130MCX010	0.029068085111706	0	0.004822433611154	0	0	0.126272370504638	0.0236564013951122	0	0.00304093341054631	0	0.0266007773268404	0	0	0.528601985013244	0.0387487152951753	0	0	0.0510551532016992	0.0350265878031675	0	0.0423398468920144	0.0907667104347023	0.00900000000000001	0.296695302947237	1.00179112463753
20211204MCX004	0.0330118875192444	0	0.00413363821695829	0	0.0307858382517555	0.325792518189071	0	0	0.000327187227541173	0.0235831281426357	0.0805587632703823	0	0	0.206126298592002	0.014976715513497	0	0	0	0	0.0942346405365699	0.0471001890274496	0.139369195512893	0.039	0.17725234951301	1.02926030775114
20220104MCX015	0.0162124284045072	0	0.00432868238304712	0	0	0.0858800327368237	0.00136266486318693	0	0	0	0.0183844486554963	0	0	0.592622058293312	0.0441576841724675	0.0494232817249606	0	0	0.043450736071522	0	0.0108035454882226	0.133374437206453	0.004	0.323956748677975	1.01027768579803
20211203MCX011	0.00843645050045501	0	0.00210962349905969	0	0	0.130569173340808	0.044598049088899	0	0	0	0.044779095437615	0	0	0.101860718277791	0.0954938058734252	0.0309956170490117	0	0.0387075959514628	0.0381665362795585	0	0.093547972652074	0.37073536204984	0.003	0.348383127345027	0.972389437026967
20211022MCX006	0.021953805939088	0	0.00433346285241172	0	0	0.175689848384437	0.0598933187757209	0	0.00254662037166627	0	0.0352897585438048	0	0	0.103400230718605	0.104305443982499	0	0	0.0371248027396351	0.0548175668928443	0	0.0636081143885172	0.33703702641077	0.004	0.336894596264501	0.969232270577728
230504MCX00021	0.0189969019802636	0	0.000198202586464191	0	0	0.154777609725478	0.0313888950088705	0	0	0	0.0342714027734967	0	0	0.202175444398057	0.00741565691521918	0.0600585863529966	0.0556927399080047	0.0635464060160935	0.0344875525560551	0	0.0675110117344598	0.269479590044542	0.013	0.263522856635866	1.00049796416982
230505MCX00035	0.0293553880280214	0	0.00519088288627473	0	0	0.135230375161191	0.106115669128283	0	0	0	0.0208260369538876	0	0	0.00799633687703431	0.109681194953986	0	0	0.114757729246679	0.033018322838953	0	0.0415593704578461	0.396268693467844	0.001	0.377866134560669	0.957504362247079
230509MCX00022	0.0350433268901408	0	0.00541982449344306	0	0	0.13847158090186	0.176175967588835	0	0	0	0.0276133253219568	0	0	0.124994457611212	0.142973846915745	0.000625169265850114	0.00555440066824331	0.0226382475411317	0.0503762132002753	0	0.0226825710656219	0.247431068535684	0.003	0.347752167280775	0.95054920526232
230510MCX00019	0.0828098248948815	0	0.00924233090979026	0	0	0.261818862587784	0.0219868011778743	0	0	0	0.0596079675602372	0	0	0	0.111632036262845	0	0	0.0759496359361943	0.0233359317018071	0	0.138174347045575	0.215442261923011	0.01	0.288615053595473	0.979748021068915
